,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
297,5.530.000 TL,İstanbul,Şişli,Merkez,Satılık,Residence,1 + 1,85 m2,70 m2,4. Kat,2 Yaşında,Eşyalı Değil,2,Betonarme,Sinpaş Queen Central Park,Doğalgaz
298,1.175.000 TL,İstanbul,Silivri,Selipaşa,Satılık,Daire,2 + 1,124 m2,115 m2,Giriş Katı,10 Yaşında,Eşyalı Değil,1,Betonarme,TOKİ emlak konutları,Doğalgaz
299,2.200.000 TL,İstanbul,Başakşehir,Bahçeşehir1.Kısı,Satılık,Daire,2 + 1,90 m2,80 m2,3. Kat,14 Yaşında,Eşyalı Değil,1,Betonarme,Armina evleri,Doğalgaz
300,870.000 TL,İstanbul,Başakşehir,Güvercintepe,Satılık,Daire,2 + 1,95 m2,85 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
301,1.890.000 TL,İstanbul,Güngören,Akıncılar,Satılık,Daire,3 + 1,128 m2,105 m2,Ara Kat,10 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
302,1.000.000 TL,İstanbul,Esenyurt,Yeşilkent,Satılık,Daire,2 + 1,120 m2,100 m2,10. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,HİL,Doğalgaz
303,2.600.000 TL,İstanbul,Pendik,Harandere,Satılık,Daire,3 + 1,160 m2,125 m2,3. Kat,21 Yaşında,Eşyalı Değil,2,Betonarme,EKŞİOĞLU MODERN BİRKENT,Doğalgaz
304,1.699.999 TL,İstanbul,Esenyurt,Mehterçeşe,Satılık,Daire,3 + 1,165 m2,145 m2,5. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Esenbahçe Konutları,Doğalgaz
305,2.099.997 TL,İstanbul,Pendik,Yenişehir,Satılık,Daire,2 + 1,114 m2,96 m2,4. Kat,12 Yaşında,Eşyalı Değil,2,Betonarme,Dumankaya Trend,Doğalgaz
306,1.560.000 TL,İstanbul,Esenyurt,BarbarosHayrettinPaşa,Satılık,Daire,2 + 1,127 m2,120 m2,2. Kat,7 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
307,3.075.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,3 + 1,187 m2,146 m2,En Üst Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,bizimkent,Doğalgaz
308,1.350.000 TL,İstanbul,Esenyurt,Hürriyet,Satılık,Daire,2 + 2,180 m2,135 m2,5. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,novercity,Doğalgaz
309,2.250.000 TL,İstanbul,Esenyurt,Güzelyurt,Satılık,Daire,3 + 1,185 m2,150 m2,10. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,delta deluxe,Doğalgaz
310,3.000.000 TL,İstanbul,Başakşehir,Bahçeşehir1.Kısı,Satılık,Daire,3 + 1,130 m2,120 m2,3. Kat,13 Yaşında,Eşyalı,1,Betonarme,armina evleri,Doğalgaz
311,1.950.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,2 + 1,140 m2,120 m2,3. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
312,4.950.000 TL,İstanbul,Sarıyer,Zekeriyaköy,Satılık,Daire,4 + 1,225 m2,185 m2,Ara Kat,18 Yaşında,Eşyalı Değil,3,Betonarme,Acarlar,Doğalgaz
313,3.200.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,220 m2,190 m2,5. Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,AKAL,Doğalgaz
314,2.135.000 TL,İstanbul,Eyüpsultan,Karadolap,Satılık,Daire,4 + 1,140 m2,128 m2,Teras Katı,2 Yaşında,Eşyalı Değil,2,Betonarme,İstanbul34Evler,Doğalgaz
315,1.380.000 TL,İstanbul,Esenyurt,BarbarosHayrettinPaşa,Satılık,Daire,2 + 1,90 m2,80 m2,En Üst Kat,5 Yaşında,Eşyalı Değil,1,Betonarme,prestige konutları,Doğalgaz
316,4.950.000 TL,İstanbul,Beykoz,Göztepe,Satılık,Daire,3 + 1,150 m2,140 m2,2. Kat,21 Yaşında,Eşyalı Değil,2,Betonarme,Hisar Evleri,Doğalgaz
317,1.950.000 TL,İstanbul,Başakşehir,Başak,Satılık,Daire,2 + 1,85 m2,80 m2,Ara Kat,20 Yaşında,Eşyalı,1,Betonarme,Vatan kent,Doğalgaz
318,8.350.000 TL,İstanbul,Beyoğlu,İstiklal,Satılık,Residence,3 + 1,147 m2,118 m2,6. Kat,2 Yaşında,Eşyalı Değil,2,Betonarme,Piyalepaşa Blv,Elektrik
319,4.500.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,200 m2,160 m2,Ara Kat,10 Yaşında,Eşyalı Değil,3,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
320,3.450.000 TL,İstanbul,Maltepe,Çınar,Satılık,Residence,1 + 1,72 m2,46 m2,17. Kat,Sıfır Bina,Eşyalı,1,Taş Bina,HEYBELİ ADA,Doğalgaz
321,2.000.000 TL,İstanbul,Kartal,Yalı,Satılık,Daire,3 + 1,130 m2,110 m2,5. Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,semtyapı,Doğalgaz
322,3.600.000 TL,İstanbul,Çekeköy,Aledağ,Satılık,Daire,4 + 2,230 m2,200 m2,Teras Katı,Sıfır Bina,Eşyalı Değil,3,Betonarme,ormankent,Doğalgaz
323,3.390.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Residence,3 + 1,170 m2,160 m2,Ara Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
324,1.150.000 TL,İstanbul,Esenyurt,Saadetdere,Satılık,Daire,2 + 1,130 m2,100 m2,Kot 2,10 Yaşında,Eşyalı Değil,2,Betonarme,bahadir konutlari,Doğalgaz
325,1.685.000 TL,İstanbul,Esenler,Havaalanı,Satılık,Daire,2 + 1,105 m2,80 m2,8. Kat,8 Yaşında,Eşyalı Değil,1,Betonarme,ESENLER EMLAK KONUTLARI,Doğalgaz
326,2.100.000 TL,İstanbul,Eyüpsultan,Eniyettepe,Satılık,Daire,2 + 1,85 m2,80 m2,5. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,AYDİL ZİRVE,Doğalgaz
327,1.220.000 TL,İstanbul,Esenler,Havaalanı,Satılık,Daire,1 + 1,75 m2,68 m2,Ara Kat,5 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
328,10.000.000 TL,İstanbul,Bakırköy,Şenlikköy,Satılık,Daire,7 + 2,430 m2,380 m2,Villa Katı,28 Yaşında,Eşyalı Değil,2,Betonarme,beyaz,Doğalgaz
329,4.600.000 TL,İstanbul,Maltepe,Yalı,Satılık,Residence,3 + 1,130 m2,95 m2,5. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,NOUVEL MALTEPE,Doğalgaz
330,4.985.000 TL,İstanbul,Maltepe,Yalı,Satılık,Daire,3 + 1,133 m2,90 m2,10. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
331,1.400.000 TL,İstanbul,Avcılar,Denizköşkler,Satılık,Daire,3 + 1,100 m2,90 m2,3. Kat,26 Yaşında,Eşyalı Değil,1,Betonarme,ak-evin sitesi,Doğalgaz
332,1.175.000 TL,İstanbul,Üraniye,İstiklal,Satılık,Daire,1 + 1,60 m2,55 m2,Yüksek Giriş,Sıfır Bina,Eşyalı Değil,1,Betonarme,palmiye sitesi,Doğalgaz
333,810.000 TL,İstanbul,Esenyurt,Pınar,Satılık,Daire,2 + 1,120 m2,100 m2,7. Kat,4 Yaşında,Eşyalı Değil,2,Taş Bina,ak towers,Doğalgaz
334,1.825.000 TL,İstanbul,Başakşehir,Bahçeşehir2.Kısı,Satılık,Daire,3 + 1,163 m2,150 m2,5. Kat,16 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
335,2.200.000 TL,İstanbul,Küçükçekece,Atakent,Satılık,Daire,2 + 1,84 m2,80 m2,5. Kat,11 Yaşında,Eşyalı Değil,1,Betonarme,MENEKŞE 2 SİTESİ,Doğalgaz
336,4.200.000 TL,İstanbul,Büyükçekece,Sinanoba,Satılık,Daire,3 + 1,285 m2,240 m2,Ara Kat,5 Yaşında,Eşyalı,2,Betonarme,Lavinya Marmara,Doğalgaz
337,3.450.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,3 + 1,180 m2,155 m2,8. Kat,30 Yaşında,Eşyalı Değil,2,Betonarme,Bizimkent,Doğalgaz
338,3.550.000 TL,İstanbul,Üraniye,NecipFazıl,Satılık,Daire,3 + 1,140 m2,116 m2,6. Kat,15 Yaşında,Eşyalı Değil,2,Betonarme,METROKENT SİTESİ,Doğalgaz
339,1.750.000 TL,İstanbul,Bağcılar,Bağlar,Satılık,Daire,3 + 1,115 m2,90 m2,En Üst Kat,25 Yaşında,Eşyalı,1,Betonarme,YEŞİL YUVAM SİTESİ,Doğalgaz
340,23.000.000 TL,İstanbul,Bakırköy,Yeşilköy,Satılık,Daire,4 + 1,240 m2,210 m2,1. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
341,16.600.000 TL,İstanbul,Kadıköy,Fenerbahçe,Satılık,Daire,4 + 1,245 m2,170 m2,7. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,Güzel Sitesi,Doğalgaz
342,2.350.000 TL,İstanbul,Üraniye,İstiklal,Satılık,Daire,2 + 1,85 m2,80 m2,6. Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,galaviya şehzade apt,Doğalgaz
343,2.850.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,160 m2,155 m2,Kot 2,20 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
344,820.000 TL,İstanbul,Pendik,AhetYesevi,Satılık,Daire,1 + 0,41 m2,33 m2,4. Kat,9 Yaşında,Eşyalı Değil,1,Betonarme,DUMANKAYA DİZAYN,Doğalgaz
345,1.650.000 TL,İstanbul,Arnavutköy,Hadıköy,Satılık,Daire,3 + 1,135 m2,130 m2,2. Kat,16 Yaşında,Eşyalı Değil,2,Betonarme,Marmara Petrol,Doğalgaz
346,2.150.000 TL,İstanbul,Beylikdüzü,Büyükşehir,Satılık,Daire,3 + 1,135 m2,125 m2,En Üst Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,Büyükşehir Konutları,Doğalgaz
347,1.500.000 TL,İstanbul,Beylikdüzü,Barış,Satılık,Daire,1 + 1,80 m2,70 m2,14. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
348,1.750.000 TL,İstanbul,Beylikdüzü,Kavaklı,Satılık,Daire,3 + 2,160 m2,145 m2,3. Kat,3 Yaşında,Eşyalı Değil,2,Betonarme,Kasrı Saadet Evleri -2,Doğalgaz
349,3.350.000 TL,İstanbul,Bağcılar,Göztepe,Satılık,Daire,3 + 1,165 m2,135 m2,1. Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,metro hayat,Doğalgaz
350,1.300.000 TL,İstanbul,Eyüpsultan,Güzeltepe,Satılık,Daire,2 + 1,90 m2,75 m2,7. Kat,3 Yaşında,Eşyalı Değil,1,Betonarme,blunest,Doğalgaz
351,2.599.999 TL,İstanbul,Eyüpsultan,Karadolap,Satılık,Daire,2 + 1,95 m2,85 m2,Ara Kat,4 Yaşında,Eşyalı Değil,1,Betonarme,Konforpark Evleri,Doğalgaz
352,2.675.000 TL,İstanbul,Silivri,Selipaşa,Satılık,Daire,3 + 1,169 m2,120 m2,En Üst Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Selimpaşa Emlak Konu,Doğalgaz
353,1.950.000 TL,İstanbul,Esenyurt,PiriReis,Satılık,Daire,3 + 1,165 m2,145 m2,2. Kat,9 Yaşında,Eşyalı Değil,2,Betonarme,Yeşilhasbahçe Konakları,Doğalgaz
354,6.100.000 TL,İstanbul,Küçükçekece,HalkalıMerkez,Satılık,Residence,3 + 1,156 m2,130 m2,17. Kat,6 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
355,1.400.000 TL,İstanbul,Gaziosanpaşa,FevziÇakak,Satılık,Daire,3 + 1,115 m2,100 m2,4. Kat,25 Yaşında,Eşyalı Değil,2,Betonarme,Aygünler,Doğalgaz
356,4.500.000 TL,İstanbul,Üraniye,YukarıDudullu,Satılık,Residence,3 + 1,165 m2,130 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,cuento plus,Doğalgaz
357,3.650.000 TL,İstanbul,Güngören,AbdurrahanNafizGüran,Satılık,Daire,3 + 1,130 m2,120 m2,1. Kat,30 Yaşında,Eşyalı Değil,2,Betonarme,Kenan Yazıcı,Doğalgaz
358,2.000.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,2 + 1,155 m2,145 m2,7. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
359,2.800.000 TL,İstanbul,Üraniye,Şerifali,Satılık,Daire,3 + 1,145 m2,120 m2,2. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,BE-SA,Doğalgaz
360,1.980.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,2 + 1,130 m2,120 m2,2. Kat,10 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
361,2.400.000 TL,İstanbul,Sultangazi,EskiHabipler,Satılık,Daire,3 + 1,130 m2,110 m2,1. Kat,7 Yaşında,Eşyalı Değil,2,Betonarme,IHLAMUR EVLERİ 1,Doğalgaz
362,4.150.000 TL,İstanbul,Fatih,MollaGürani,Satılık,Daire,3 + 1,125 m2,110 m2,Ara Kat,30 Yaşında,Eşyalı Değil,1,Betonarme,ERSEVEN,Doğalgaz
363,4.190.000 TL,İstanbul,Kartal,Atalar,Satılık,Daire,3 + 1,175 m2,115 m2,6. Kat,3 Yaşında,Eşyalı Değil,2,Betonarme,Ekşioğlu Tria Kartal,Doğalgaz
364,2.350.000 TL,İstanbul,Büyükçekece,Fatih,Satılık,Daire,4 + 2,220 m2,180 m2,En Üst Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,filiz Aprt,Doğalgaz
365,1.900.000 TL,İstanbul,Gaziosanpaşa,Bağlarbaşı,Satılık,Daire,2 + 1,110 m2,93 m2,2. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
366,3.500.000 TL,İstanbul,Küçükçekece,Atakent,Satılık,Daire,2 + 1,122 m2,92 m2,Giriş Katı,7 Yaşında,Eşyalı Değil,2,Betonarme,ELİTE CİTY,Doğalgaz
367,5.000.000 TL,İstanbul,Üraniye,Site,Satılık,Daire,3 + 1,157 m2,108 m2,13. Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,Kozaplace,Elektrik
368,8.050 TL,İstanbul,Başakşehir,Başakşehir,Satılık,Daire,5 + 2,316 m2,236 m2,En Üst Kat,9 Yaşında,Eşyalı Değil,4,Betonarme,Arterium plus Resida,Doğalgaz
369,1.650.000 TL,İstanbul,Başakşehir,Kayabaşı,Satılık,Daire,2 + 1,90 m2,85 m2,3. Kat,10 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
370,735.000 TL,İstanbul,Silivri,Sancaktepe,Satılık,Daire,3 + 1,120 m2,110 m2,5. Kat,9 Yaşında,Eşyalı Değil,1,Betonarme,yıldırım beyazıt,Doğalgaz
371,2.650.000 TL,İstanbul,Başakşehir,Başakşehir,Satılık,Daire,2 + 1,112 m2,100 m2,Ara Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Oyakkent 2,Doğalgaz
372,1.985.000 TL,İstanbul,Çekeköy,Haidiye,Satılık,Daire,3 + 1,120 m2,100 m2,6. Kat,25 Yaşında,Eşyalı Değil,2,Betonarme,yıldız saraylar,Doğalgaz
373,2.250.000 TL,İstanbul,Üsküdar,Ferah,Satılık,Daire,3 + 1,115 m2,90 m2,2. Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,ÇAMLICA İLKE-2 SİTES,Doğalgaz
374,9.550.000 TL,İstanbul,Eyüpsultan,GöktürkMerkez,Satılık,Daire,4 + 1,225 m2,179 m2,2. Kat,13 Yaşında,Eşyalı Değil,3,Betonarme,Doğa Country,Doğalgaz
375,1.025.000 TL,İstanbul,Gaziosanpaşa,Yıldıztabya,Satılık,Daire,1 + 1,70 m2,66 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
376,2.300.000 TL,İstanbul,Kağıthane,Haidiye,Satılık,Daire,3 + 1,120 m2,110 m2,Ara Kat,23 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
377,3.575.000 TL,İstanbul,Sancaktepe,Eek,Satılık,Daire,4 + 1,201 m2,156 m2,3. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,Dore Life Sitesi,Doğalgaz
378,2.900.000 TL,İstanbul,Çekeköy,Taşdelen,Satılık,Daire,3 + 1,140 m2,125 m2,6. Kat,12 Yaşında,Eşyalı Değil,2,Betonarme,Palma Doro,Doğalgaz
379,2.250.000 TL,İstanbul,Çekeköy,Haidiye,Satılık,Daire,3 + 1,145 m2,125 m2,1. Kat,22 Yaşında,Eşyalı Değil,2,Betonarme,Orkent,Doğalgaz
380,3.999.000 TL,İstanbul,Ataşehir,Atatürk,Satılık,Daire,4 + 1,170 m2,150 m2,1. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,Gardenya,Doğalgaz
381,1.900.000 TL,İstanbul,Silivri,Selipaşa,Satılık,Daire,4 + 2,217 m2,155 m2,2. Kat,30 Yaşında,Eşyalı,2,Betonarme,Camcıoğlu,Doğalgaz
382,1.500.000 TL,İstanbul,Üraniye,İnkılap,Satılık,Daire,3 + 1,140 m2,115 m2,3. Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,Kaplankent,Doğalgaz
383,1.200.000 TL,İstanbul,Çatalca,Ferhatpaşa,Satılık,Daire,2 + 1,85 m2,75 m2,Ara Kat,1 Yaşında,Eşyalı,1,Taş Bina,kardelen,Doğalgaz
384,2.100.000 TL,İstanbul,Esenyurt,Akevler,Satılık,Daire,3 + 1,136 m2,128 m2,Ara Kat,12 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
385,4.850.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,170 m2,140 m2,5. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,Prestij 2 konaklari,Doğalgaz
386,2.200.000 TL,İstanbul,Üsküdar,MuratReis,Satılık,Daire,2 + 1,85 m2,75 m2,2. Kat,25 Yaşında,Eşyalı Değil,1,Betonarme,Bağlarbaşı Soyak Sitesi,Doğalgaz
387,5.000.000 TL,İstanbul,Ataşehir,Küçükbakkalköy,Satılık,Daire,2 + 1,128 m2,105 m2,Ara Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,brandium,Doğalgaz
388,6.000.000 TL,İstanbul,Beşiktaş,Ortaköy,Satılık,Daire,3 + 1,110 m2,92 m2,Giriş Katı,36 Yaşında,Eşyalı Değil,2,Betonarme,Ulus Saltan Sitesi,Doğalgaz
389,2.650.000 TL,İstanbul,Maltepe,Altayçeşe,Satılık,Daire,2 + 1,105 m2,60 m2,11. Kat,8 Yaşında,Eşyalı Değil,1,Çelik,DAP ROYAL,Doğalgaz
390,3.700.000 TL,İstanbul,Üraniye,Çakak,Satılık,Daire,3 + 1,165 m2,145 m2,12. Kat,22 Yaşında,Eşyalı Değil,2,Betonarme,AĞAOĞLU MY CITY,Doğalgaz
391,2.800.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,185 m2,165 m2,1. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,UMUT,Doğalgaz
392,1.350.000 TL,İstanbul,Silivri,Yeni,Satılık,Daire,3 + 1,130 m2,103 m2,Giriş Katı,7 Yaşında,Eşyalı Değil,2,Betonarme,denizkonaklari,Doğalgaz
393,1.350.000 TL,İstanbul,Kartal,UğurMucu,Satılık,Daire,3 + 1,140 m2,130 m2,8. Kat,25 Yaşında,Eşyalı Değil,2,Betonarme,KOCAELİ BİLİMKENT,Doğalgaz
394,3.700.000 TL,İstanbul,Küçükçekece,Kartaltepe,Satılık,Daire,3 + 1,161 m2,97 m2,10. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Port Royal,Doğalgaz
395,1.300.000 TL,İstanbul,Esenyurt,Akevler,Satılık,Residence,2 + 1,115 m2,106 m2,21 ve üzeri,11 Yaşında,Eşyalı Değil,1,Betonarme,ntwors,Doğalgaz
396,1.875.000 TL,İstanbul,Esenyurt,Hürriyet,Satılık,Daire,3 + 1,150 m2,125 m2,En Üst Kat,12 Yaşında,Eşyalı Değil,1,Betonarme,PAPATYA EVLERİ,Doğalgaz
397,1.850.000 TL,İstanbul,Pendik,Harandere,Satılık,Residence,1 + 1,72 m2,60 m2,7. Kat,8 Yaşında,Eşyalı,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
398,2.500.000 TL,İstanbul,Tuzla,Yayla,Satılık,Daire,3 + 1,130 m2,118 m2,Ara Kat,25 Yaşında,Eşyalı,1,Betonarme,Toros Evleri,Doğalgaz
399,3.150.000 TL,İstanbul,Başakşehir,Kayabaşı,Satılık,Daire,3 + 1,126 m2,110 m2,Ara Kat,5 Yaşında,Eşyalı,2,Betonarme,18.bölge,Doğalgaz
400,4.100.000 TL,İstanbul,Üraniye,Tatlısu,Satılık,Daire,3 + 1,140 m2,110 m2,9. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,cesa şelale evleri,Doğalgaz
401,2.750.000 TL,İstanbul,Büyükçekece,Cuhuriyet,Satılık,Daire,3 + 1,140 m2,120 m2,Bahçe Katı,15 Yaşında,Eşyalı Değil,2,Betonarme,Gül sitesi,Doğalgaz
402,2.300.000 TL,İstanbul,Pendik,Yenişehir,Satılık,Daire,3 + 1,150 m2,140 m2,Bahçe Katı,10 Yaşında,Eşyalı Değil,2,Betonarme,Gökçeren,Doğalgaz
403,1.600.000 TL,İstanbul,Eyüpsultan,Alibeyköy,Satılık,Daire,2 + 1,90 m2,70 m2,2. Kat,Sıfır Bina,Eşyalı Değil,1,Taş Bina,aktez,Doğalgaz
404,1.420.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,2 + 1,110 m2,90 m2,Ara Kat,15 Yaşında,Eşyalı Değil,1,Betonarme,sera konutları,Doğalgaz
405,1.750.000 TL,İstanbul,Başakşehir,Kayabaşı,Satılık,Daire,2 + 1,82 m2,75 m2,3. Kat,4 Yaşında,Eşyalı Değil,1,Betonarme,Kayaşehir 24.Bölge Bağtepe,Doğalgaz
406,2.383.000 TL,İstanbul,Üraniye,Madenler,Satılık,Daire,3 + 1,145 m2,98 m2,2. Kat,3 Yaşında,Eşyalı Değil,1,Betonarme,Renova Evleri,Doğalgaz
407,3.900.000 TL,İstanbul,Büyükçekece,Miaroba,Satılık,Daire,3 + 1,200 m2,160 m2,Bahçe Katı,2 Yaşında,Eşyalı Değil,2,Betonarme,silüet mimaroba,Doğalgaz
408,8.250.000 TL,İstanbul,Maltepe,Küçükyalı,Satılık,Daire,4 + 1,250 m2,215 m2,Kot 1,10 Yaşında,Eşyalı Değil,2,Betonarme,Önder Sitesi,Doğalgaz
409,5.000.000 TL,İstanbul,Üraniye,Site,Satılık,Daire,3 + 1,157 m2,108 m2,Ara Kat,7 Yaşında,Eşyalı Değil,2,Betonarme,Koaplace,Elektrik
410,850.000 TL,İstanbul,Esenyurt,Mehterçeşe,Satılık,Daire,1 + 1,120 m2,85 m2,Yüksek Giriş,10 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
411,2.000.000 TL,İstanbul,Büyükçekece,Pınartepe,Satılık,Daire,2 + 1,135 m2,127 m2,Bahçe Katı,9 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
412,5.475.000 TL,İstanbul,Bakırköy,Ataköy2-5-6.Kısı,Satılık,Daire,2 + 1,150 m2,140 m2,1. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,NOVUS,Doğalgaz
413,6.200.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,2 + 1,140 m2,120 m2,3. Kat,4 Yaşında,Eşyalı Değil,1,Betonarme,Ağaoğlu Maslak 1453,Doğalgaz
414,2.600.000 TL,İstanbul,Esenyurt,Zafer,Satılık,Daire,3 + 1,171 m2,121 m2,5. Kat,7 Yaşında,Eşyalı Değil,2,Betonarme,İstanbul Prestij Park,Doğalgaz
415,4.000.000 TL,İstanbul,Esenyurt,BarbarosHayrettinPaşa,Satılık,Daire,3 + 2,280 m2,250 m2,11. Kat,9 Yaşında,Eşyalı Değil,3,Betonarme,Ayışığı Vadi Evleri,Doğalgaz
416,2.200.000 TL,İstanbul,Büyükçekece,Miaroba,Satılık,Daire,4 + 1,200 m2,180 m2,2. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,knj,Doğalgaz
417,4.250.000 TL,İstanbul,Büyükçekece,Fatih,Satılık,Daire,4 + 2,280 m2,240 m2,4. Kat,5 Yaşında,Eşyalı Değil,3,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
418,1.525.000 TL,İstanbul,Silivri,Yeni,Satılık,Daire,2 + 1,125 m2,110 m2,3. Kat,2 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
419,2.557.000 TL,İstanbul,Büyükçekece,Cuhuriyet,Satılık,Daire,1 + 1,89 m2,50 m2,5. Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Elektrik
420,1.950.000 TL,İstanbul,Güngören,MehetNesihÖzen,Satılık,Daire,3 + 1,90 m2,75 m2,3. Kat,31 Yaşında,Eşyalı Değil,1,Betonarme,Maden İş Evleri Sitesi,Doğalgaz
421,2.250.000 TL,İstanbul,Büyükçekece,Sinanoba,Satılık,Daire,3 + 1,140 m2,130 m2,1. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
422,4.700.000 TL,İstanbul,Esenyurt,Zafer,Satılık,Daire,3 + 1,140 m2,125 m2,8. Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,Babacan premium,Doğalgaz
423,1.850.000 TL,İstanbul,Eyüpsultan,Karadolap,Satılık,Daire,2 + 1,100 m2,80 m2,Ara Kat,6 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
424,1.090.000 TL,İstanbul,Esenler,Tuna,Satılık,Daire,2 + 1,90 m2,80 m2,1. Kat,5 Yaşında,Eşyalı,1,Betonarme,TUNAPARK,Doğalgaz
