,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
28,3.200.000 TL,İstanbul,Esenyurt,Koza,Satılık,Daire,2 + 1,137 m2,110 m2,9. Kat,5 Yaşında,Eşyalı Değil,2,Betonarme,Koza Park,Doğalgaz
29,6.335.000 TL,İstanbul,Bakırköy,Sakızağacı,Satılık,Daire,1 + 1,85 m2,59 m2,7. Kat,1 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Elektrik
30,1.099.000 TL,İstanbul,Beylikdüzü,Kavaklı,Satılık,Daire,2 + 1,110 m2,100 m2,Bahçe Katı,4 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
31,42.500.000 TL,İstanbul,Beşiktaş,Ulus,Satılık,Daire,4 + 1,225 m2,205 m2,2. Kat,8 Yaşında,Eşyalı Değil,4,Betonarme,Ulus Tepe Konakları Sitesi,Doğalgaz
32,7.000.000 TL,İstanbul,Şişli,Cuhuriyet,Satılık,Residence,2 + 1,118 m2,105 m2,13. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Anthill Residence,Doğalgaz
33,8.500.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,3 + 1,170 m2,140 m2,21 ve üzeri,10 Yaşında,Eşyalı Değil,2,Çelik,Mashattan,Doğalgaz
34,1.800.000 TL,İstanbul,Eyüpsultan,Güzeltepe,Satılık,Daire,3 + 1,160 m2,140 m2,9. Kat,2 Yaşında,Eşyalı Değil,2,Betonarme,blunest,Doğalgaz
35,4.195.000 TL,İstanbul,Kadıköy,19Mayıs,Satılık,Daire,3 + 1,125 m2,95 m2,1. Kat,31 Yaşında,Eşyalı Değil,1,Betonarme,Erdemirler Sitesi,Doğalgaz
36,1.650.000 TL,İstanbul,Bahçelievler,Bahçelievler,Satılık,Daire,2 + 1,80 m2,70 m2,Yüksek Giriş,35 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
37,7.250.000 TL,İstanbul,Eyüpsultan,GöktürkMerkez,Satılık,Daire,4 + 1,330 m2,260 m2,Çatı Katı,12 Yaşında,Eşyalı Değil,3,Betonarme,kemercıty II,Doğalgaz
38,1.300.000 TL,İstanbul,Pendik,Kaynarca,Satılık,Daire,4 + 2,200 m2,180 m2,Giriş Katı,12 Yaşında,Eşyalı Değil,2,Betonarme,özel site,Doğalgaz
39,2.100.000 TL,İstanbul,Maltepe,Başıbüyük,Satılık,Daire,2 + 1,110 m2,90 m2,16. Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,Kentplus Centri,Elektrik
40,6.600.000 TL,İstanbul,Beşiktaş,Akat,Satılık,Daire,4 + 1,180 m2,175 m2,En Üst Kat,25 Yaşında,Eşyalı Değil,2,Betonarme,Saraylar Beldesi Sitesi,Doğalgaz
41,2.200.000 TL,İstanbul,Silivri,Selipaşa,Satılık,Daire,2 + 1,133 m2,115 m2,En Üst Kat,14 Yaşında,Eşyalı Değil,1,Betonarme,emlak konutları,Doğalgaz
42,2.400.000 TL,İstanbul,Çekeköy,Aydınlar,Satılık,Daire,2 + 1,111 m2,84 m2,10. Kat,6 Yaşında,Eşyalı Değil,2,Betonarme,Daphne Garden Sitesi,Doğalgaz
